,location,current
name,London,
region,"City of London, Greater London",
country,United Kingdom,
lat,51.52,
lon,-0.11,
tz_id,Europe/London,
localtime_epoch,1686343441,
localtime,2023-06-09 21:44,
last_updated_epoch,,1686342600
last_updated,,2023-06-09 21:30
temp_c,,22.0
temp_f,,71.6
is_day,,0
condition,,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}"
wind_mph,,11.9
wind_kph,,19.1
wind_degree,,60
wind_dir,,ENE
pressure_mb,,1013.0
pressure_in,,29.91
precip_mm,,0.0
precip_in,,0.0
humidity,,61
cloud,,0
feelslike_c,,24.5
feelslike_f,,76.2
vis_km,,10.0
vis_miles,,6.0
uv,,5.0
gust_mph,,13.6
gust_kph,,22.0
air_quality,,"{'co': 207.0, 'no2': 10.699999809265137, 'o3': 97.30000305175781, 'so2': 4.699999809265137, 'pm2_5': 7.800000190734863, 'pm10': 16.600000381469727, 'us-epa-index': 1, 'gb-defra-index': 1}"
