iter	MultiClass
0	3.577434475
1	3.44612657
2	3.421932239
3	3.326321634
4	3.271547531
5	3.19310482
6	3.182043295
7	3.118009844
8	3.055683803
9	2.975609985
10	2.948042947
11	2.9239419
12	2.898569035
13	2.864753543
14	2.808544997
15	2.777146948
16	2.744715166
17	2.702220344
18	2.682947842
19	2.653450986
20	2.633474535
21	2.593164973
22	2.573153612
23	2.549724024
24	2.519918059
25	2.50515572
26	2.486404235
27	2.481930958
28	2.464014968
29	2.435873025
30	2.41319966
31	2.403913994
32	2.384317642
33	2.367412547
34	2.341016438
35	2.317164991
36	2.305093764
37	2.284638485
38	2.264223771
39	2.256259198
40	2.241721452
41	2.229255509
42	2.217445082
43	2.203163596
44	2.180694673
45	2.170376497
46	2.158035326
47	2.144669201
48	2.137436071
49	2.130108757
50	2.124177166
51	2.116401699
52	2.112895596
53	2.106074857
54	2.099804531
55	2.089129095
56	2.079848585
57	2.073033551
58	2.067760429
59	2.059266145
60	2.04800666
61	2.045913807
62	2.04034804
63	2.037144607
64	2.027963082
65	2.01886348
66	2.016117844
67	2.001638063
68	1.988655653
69	1.962758665
70	1.955579621
71	1.949656675
72	1.946915188
73	1.940345029
74	1.922509929
75	1.914302755
76	1.908975593
77	1.896799708
78	1.89207416
79	1.886529108
80	1.879789345
81	1.866415687
82	1.854126633
83	1.851351811
84	1.84803686
85	1.842094521
86	1.833332068
87	1.824509878
88	1.822408513
89	1.815775233
90	1.811599788
91	1.810091993
92	1.808034526
93	1.798692111
94	1.787337441
95	1.780266713
96	1.775920177
97	1.768681378
98	1.761387513
99	1.755495572
100	1.753522217
101	1.746540299
102	1.735918491
103	1.731095928
104	1.727523374
105	1.719228186
106	1.711570254
107	1.701805296
108	1.696421354
109	1.693601196
110	1.690463638
111	1.687788754
112	1.68230568
113	1.679551834
114	1.676364953
115	1.670411173
116	1.668452857
117	1.660225657
118	1.655836169
119	1.652630816
120	1.645626641
121	1.641152064
122	1.634829135
123	1.62977193
124	1.624282703
125	1.619518331
126	1.618410032
127	1.614206346
128	1.608112512
129	1.603854085
130	1.598236132
131	1.592296975
132	1.584734087
133	1.579738648
134	1.578553956
135	1.575299796
136	1.569894514
137	1.566500048
138	1.56004937
139	1.556709427
140	1.552102774
141	1.549140473
142	1.544527677
143	1.541295351
144	1.537807159
145	1.535500342
146	1.532738623
147	1.531509346
148	1.528706552
149	1.52649372
150	1.52195676
151	1.518585191
152	1.513620319
153	1.509799317
154	1.508072224
155	1.50315773
156	1.499277977
157	1.495734274
158	1.493054947
159	1.490753755
160	1.489806652
161	1.486862684
162	1.484080416
163	1.479686814
164	1.477098197
165	1.476527596
166	1.473739458
167	1.468150029
168	1.466024116
169	1.461335647
170	1.458885548
171	1.455403071
172	1.454400044
173	1.452639125
174	1.450143169
175	1.446504129
176	1.44489273
177	1.441228873
178	1.437383389
179	1.43488376
180	1.431978714
181	1.430196266
182	1.425969702
183	1.421708824
184	1.419022781
185	1.418672402
186	1.417073002
187	1.412872912
188	1.411203685
189	1.410046151
190	1.408728166
191	1.406231412
192	1.402223855
193	1.400558666
194	1.397822378
195	1.39463416
196	1.392877342
197	1.390530154
198	1.387938036
199	1.386408307
200	1.385068697
201	1.384052798
202	1.381106966
203	1.379536657
204	1.377025167
205	1.375180702
206	1.37300098
207	1.372207745
208	1.37118919
209	1.369556619
210	1.367774437
211	1.363953203
212	1.360622558
213	1.357997272
214	1.354834864
215	1.351507962
216	1.349326928
217	1.345958098
218	1.344051826
219	1.34180058
220	1.339536897
221	1.337608096
222	1.336295652
223	1.334375802
224	1.332593233
225	1.329311859
226	1.327535284
227	1.326137724
228	1.324511653
229	1.322586453
230	1.31978192
231	1.317471516
232	1.316963933
233	1.315497882
234	1.314517971
235	1.312822261
236	1.311346904
237	1.309504241
238	1.307799132
239	1.305606655
240	1.303238008
241	1.301674631
242	1.300217784
243	1.298920594
244	1.29717801
245	1.294981142
246	1.292692666
247	1.290913289
248	1.289267771
249	1.287463627
250	1.284759599
251	1.283171684
252	1.281796754
253	1.278015883
254	1.276832476
255	1.275231643
256	1.273659621
257	1.272115403
258	1.270772034
259	1.268619866
260	1.265396229
261	1.263633256
262	1.26000838
263	1.257367674
264	1.255278807
265	1.252755883
266	1.25133495
267	1.249919909
