iter	Passed	Remaining
0	0	3738
1	1	3197
2	1	2545
3	1	2066
4	1	1707
5	1	1660
6	1	1526
7	2	1532
8	2	1432
9	2	1394
10	2	1339
11	2	1338
12	2	1287
13	2	1244
14	3	1203
15	3	1196
16	3	1162
17	3	1132
18	3	1111
19	3	1086
20	3	1067
21	3	1026
22	4	1111
23	4	1108
24	4	1106
25	4	1100
26	4	1083
27	5	1068
28	5	1052
29	5	1070
30	5	1056
31	5	1044
32	5	1036
33	5	1025
34	5	1013
35	6	1001
36	6	992
37	6	983
38	6	976
39	6	968
40	6	960
41	6	953
42	6	946
43	6	942
44	7	935
45	7	928
46	7	922
47	7	917
48	7	913
49	7	920
50	7	929
51	8	924
52	8	924
53	8	934
54	8	948
55	9	956
56	9	956
57	9	957
58	9	954
59	9	953
60	9	948
61	9	943
62	9	938
63	10	934
64	10	926
65	10	921
66	10	917
67	10	913
68	10	909
69	10	905
70	10	903
71	10	899
72	11	896
73	11	892
74	11	891
75	11	886
76	11	882
77	11	878
78	11	877
79	11	875
80	11	869
81	12	867
82	12	868
83	12	865
84	12	861
85	12	858
86	12	854
87	12	851
88	12	849
89	12	842
90	12	837
91	13	834
92	13	834
93	13	832
94	13	830
95	13	828
96	13	829
97	13	826
98	13	825
99	13	824
100	14	821
101	14	818
102	14	817
103	14	815
104	14	812
105	14	810
106	14	808
107	14	805
108	14	803
109	14	801
110	15	799
111	15	800
112	15	799
113	15	799
114	15	798
115	15	797
116	15	801
117	16	799
118	16	797
119	16	792
120	16	790
121	16	789
122	16	787
123	16	786
124	16	784
125	16	784
126	16	783
127	17	785
128	17	784
129	17	790
130	17	798
131	18	806
132	18	810
133	18	809
134	18	808
135	18	808
136	18	806
137	18	804
138	19	802
139	19	801
140	19	802
141	19	801
142	19	799
143	19	798
144	19	800
145	19	800
146	20	798
147	20	795
148	20	794
149	20	792
150	20	792
151	20	791
152	20	792
153	20	791
154	21	800
155	21	799
156	21	798
157	21	797
158	21	797
159	21	796
160	21	794
161	22	793
162	22	793
163	22	792
164	22	794
165	22	793
166	22	792
167	22	791
168	22	789
169	23	789
170	23	788
171	23	786
172	23	785
173	23	784
174	23	783
175	23	783
176	23	782
177	23	780
178	23	779
179	24	778
180	24	777
181	24	776
182	24	777
183	24	777
184	24	776
185	24	775
186	24	772
187	25	773
188	25	772
189	25	771
190	25	770
191	25	769
192	25	769
193	25	769
194	25	768
195	25	768
196	26	766
197	26	764
198	26	763
199	26	762
200	26	761
201	26	760
202	26	759
203	26	758
204	26	759
205	27	759
206	27	758
207	27	759
208	27	759
209	27	758
210	27	758
211	27	757
212	28	767
213	28	774
214	29	780
215	29	779
216	29	778
217	29	777
218	29	776
219	29	777
220	29	782
221	30	781
222	30	781
223	30	782
224	30	781
225	30	781
226	30	780
227	30	779
228	30	778
229	30	777
230	31	777
231	31	778
232	31	778
233	31	777
234	31	776
235	31	775
236	31	774
237	31	773
238	32	773
239	32	772
240	32	773
241	32	772
242	32	772
243	32	773
244	32	773
245	33	777
246	33	781
247	33	782
248	33	781
249	33	781
250	34	781
251	34	780
252	34	779
253	34	779
254	34	779
255	34	778
256	34	779
257	35	779
258	35	779
259	35	778
260	35	778
261	35	778
262	35	777
263	35	776
264	35	775
265	35	775
266	36	775
267	36	775
268	36	775
269	36	774
270	36	773
271	36	774
272	36	773
273	36	772
274	37	771
275	37	770
276	37	769
277	37	769
278	37	768
279	37	768
280	37	768
281	37	767
282	37	766
283	38	765
284	38	765
285	38	764
286	38	763
287	38	763
288	38	762
289	38	761
290	38	761
291	38	760
292	39	759
293	39	758
294	39	758
295	39	757
296	39	756
297	39	756
298	39	755
299	39	754
300	39	754
301	39	753
302	40	753
303	40	753
304	40	753
305	40	752
306	40	751
307	40	751
308	40	751
309	40	751
310	41	750
311	41	750
312	41	749
313	41	749
314	41	748
315	41	749
316	41	748
317	41	747
