,24-9-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1790268353
localtime,2026-09-24 17:45
last_updated_epoch,1790267400
last_updated,2026-09-24 17:30
temp_c,21.5
temp_f,70.7
is_day,1
condition,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}"
wind_mph,5.6
wind_kph,9.0
wind_degree,161
wind_dir,SSE
pressure_mb,1023.0
pressure_in,30.21
precip_mm,0.0
precip_in,0.0
humidity,45
cloud,100
feelslike_c,19.6
feelslike_f,67.3
windchill_c,21.5
windchill_f,70.7
heatindex_c,24.2
heatindex_f,75.5
dewpoint_c,9.1
dewpoint_f,48.4
vis_km,10.0
vis_miles,6.0
uv,0.6000000000000001
gust_mph,6.3
gust_kph,10.2
will_it_rain,0
chance_of_rain,11
will_it_snow,0
chance_of_snow,0
wetbulb_c,14.4
wetbulb_f,57.9
air_quality,"{'co': 186.0, 'no2': 16.2, 'o3': 71.0, 'so2': 1.1, 'pm2_5': 4.0, 'pm10': 7.5, 'us-epa-index': 1, 'gb-defra-index': 1}"
