,country,year,value,category,category_encoded,country_encoded,region,directions,capitals,official_language,region_encoded,directions_encoded,capitals_encoded,official_language_encoded
0,Australia,2014,393126.946994288,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
1,Australia,2013,396913.93653029,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
2,Australia,2012,406462.8477036,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
3,Australia,2011,403705.528313991,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
4,Australia,2010,406200.993184341,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
5,Australia,2009,408448.47899963,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
6,Australia,2008,404237.828214077,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
7,Australia,2007,398816.453543549,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
8,Australia,2006,391134.100909449,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
9,Australia,2005,385581.132806466,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
10,Australia,2004,381519.261592783,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
11,Australia,2003,368345.977425107,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
12,Australia,2002,361861.387896028,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
13,Australia,2001,357653.329899303,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
14,Australia,2000,349885.433108928,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
15,Australia,1999,343713.906947774,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
16,Australia,1998,334328.142646602,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
17,Australia,1997,320439.116819391,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
18,Australia,1996,311914.819824229,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
19,Australia,1995,305162.543548735,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
20,Australia,1994,293830.709141192,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
21,Australia,1993,289142.267681326,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
22,Australia,1992,284766.092717838,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
23,Australia,1991,279741.639011863,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
24,Australia,1990,278265.898940768,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,0,Australia,South,Canberra,English,1,4,9,7
25,Austria,2014,64262.5639931315,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,1,Europe,West,Vienna,German,2,7,36,13
26,Austria,2013,67957.1211123863,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,1,Europe,West,Vienna,German,2,7,36,13
27,Austria,2012,67698.6586349119,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,1,Europe,West,Vienna,German,2,7,36,13
28,Austria,2011,70327.1670444138,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,1,Europe,West,Vienna,German,2,7,36,13
29,Austria,2010,72531.826129136,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,1,Europe,West,Vienna,German,2,7,36,13
30,Austria,2009,67682.7251493548,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,1,Europe,West,Vienna,German,2,7,36,13
31,Austria,2008,74066.2557920763,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0,1,Europe,West,Vienna,German,2,7,36,13
